runname,id,nDCG@0050,D#nDCG@0050,I-rec@0050
KLE-S-C-4A,0015,0.7661,0.7334,0.7059
KLE-S-C-4A,0016,0.5241,0.5642,0.5909
KLE-S-C-4A,0017,0.6542,0.7029,0.75
KLE-S-C-4A,0018,0.7254,0.734,0.75
KLE-S-C-4A,0019,0.7534,0.7263,0.7059
KLE-S-C-4A,0020,0.6218,0.6901,0.75
KLE-S-C-4A,0021,0.5164,0.6098,0.68
KLE-S-C-4A,0022,0.5691,0.7096,0.8333
KLE-S-C-4A,0023,0.7119,0.791,0.875
KLE-S-C-4A,0024,0.3218,0.3952,0.4571
KLE-S-C-4A,0025,0.6626,0.7328,0.8182
KLE-S-C-4A,0026,0.7419,0.769,0.8
KLE-S-C-4A,0027,0.8696,0.8311,0.8
KLE-S-C-4A,0028,0.595,0.7071,0.8148
KLE-S-C-4A,0029,0.573,0.6089,0.64
KLE-S-C-4A,0030,0.7129,0.6567,0.6
KLE-S-C-4A,0031,0.3026,0.4055,0.5
KLE-S-C-4A,0032,0.589,0.5941,0.6154
KLE-S-C-4A,0033,0.8054,0.7172,0.625
THUSAM-S-C-4A,0001,0.7142,0.5691,0.4286
THUSAM-S-C-4A,0002,0.5665,0.6316,0.7143
THUSAM-S-C-4A,0003,0.2636,0.4012,0.5385
THUSAM-S-C-4A,0004,0.5118,0.4574,0.425
THUSAM-S-C-4A,0005,0.6581,0.5604,0.4762
THUSAM-S-C-4A,0006,0.4311,0.3801,0.35
THUSAM-S-C-4A,0007,0.4949,0.4131,0.3478
THUSAM-S-C-4A,0008,0.6826,0.583,0.5
THUSAM-S-C-4A,0009,0.2708,0.3669,0.4615
THUSAM-S-C-4A,0010,0.4934,0.6232,0.75
THUSAM-S-C-4A,0011,0.3979,0.3392,0.3125
THUSAM-S-C-4A,0012,0.5477,0.4655,0.4
THUSAM-S-C-4A,0013,0.5751,0.6093,0.6667
THUSAM-S-C-4A,0014,0.4463,0.4491,0.48
THUSAM-S-C-4A,0015,0.6321,0.6299,0.6471
THUSAM-S-C-4A,0016,0.1645,0.1569,0.1591
THUSAM-S-C-4A,0017,0.0626,0.0832,0.1
THUSAM-S-C-4A,0018,0.3036,0.2657,0.25
THUSAM-S-C-4A,0019,0.492,0.3814,0.2941
THUSAM-S-C-4A,0020,0.5142,0.4884,0.45
