,,FLS,,,SLS,,,,
runname,id,nDCG@0005,D#nDCG@0005,I-rec@0005,nDCG@0050,D#nDCG@0050,I-rec@0050,H-score,H-Measure
FRDC-S-C-3A,33,0.4549,0.7246,1,0,0,0,0,0
FRDC-S-C-4A,1,0.565,0.5773,0.6,0.4455,0.4993,0.5714,0.634285714,0.341436
FRDC-S-C-4A,2,0.4755,0.5431,0.6,0.125,0.2392,0.3571,0.516666667,0.202094167
FRDC-S-C-4A,3,0.4209,0.4029,0.4,0.3622,0.3973,0.4615,0.616666667,0.246728333
FRDC-S-C-4A,4,0.2323,0.3907,0.5,0.107,0.1345,0.175,0.9,0.23634
FRDC-S-C-4A,5,0.4165,0.4265,0.4,0.3631,0.4638,0.5714,0.78125,0.347773438
FRDC-S-C-4A,6,0.3546,0.376,0.4,0.329,0.3022,0.3,0.85,0.288235
FRDC-S-C-4A,7,0.2438,0.3952,0.5,0.0958,0.0915,0.087,0.2,0.04867
FRDC-S-C-4A,8,0.2369,0.3923,0.5,0.1043,0.3038,0.5,0.222222222,0.077344444
FRDC-S-C-4A,9,0.2349,0.2414,0.2,0.1181,0.1923,0.2692,0.2,0.04337
FRDC-S-C-4A,10,0.4731,0.6397,0.75,0.3238,0.352,0.375,0.5625,0.278915625
FRDC-S-C-4A,11,0.7101,0.7349,0.75,0.2697,0.3539,0.4375,0.35,0.19054
FRDC-S-C-4A,12,0.2051,0.3734,0.5,0.2275,0.3759,0.5333,0.4,0.14986
FRDC-S-C-4A,13,0.6034,0.802,1,0.5218,0.7483,1,0.541666667,0.419872917
FRDC-S-C-4A,14,0.1542,0.3265,0.5,0.151,0.2541,0.36,0.298333333,0.086606167
FRDC-S-C-4A,15,0.656,0.8212,1,0.3785,0.3824,0.4118,0.5,0.3009
FRDC-S-C-4A,16,0.1786,0.208,0.2,0.096,0.1472,0.2045,0.6,0.10656
FRDC-S-C-4A,17,0.2572,0.2548,0.2,0.1042,0.1243,0.15,0.5,0.06215
FRDC-S-C-4A,18,0.2671,0.3281,0.3333,0.0364,0.1018,0.1667,0.4,0.04072
FRDC-S-C-4A,19,0.2011,0.3715,0.5,0.2491,0.2694,0.2941,0,0
FRDC-S-C-4A,20,0,0,0,0.2045,0.2379,0.3,0.9,0.21411
FRDC-S-C-4A,21,0.0271,0.183,0.3333,0.1758,0.2228,0.28,0.8,0.17824
FRDC-S-C-4A,22,0,0,0,0.2552,0.1953,0.1667,1,0.1953
FRDC-S-C-4A,23,0.4938,0.7319,1,0.3634,0.3357,0.3125,0.8,0.26856
