		fls					sls					
runname	id	nDCG@0005	D#nDCG@0005	I-rec@0005	runname	id	nDCG@0050	D#nDCG@0050	I-rec@0050			
CNU-S-C-4A	25	0.3218	0.2933	0.2	CNU-S-C-4A	25	0.0506	0.0724	0.0909	CNU-S-C-4A	25	1
CNU-S-C-4A	26	0.8846	0.8374	0.8	CNU-S-C-4A	26	0.2265	0.2358	0.25	CNU-S-C-4A	26	0.52
CNU-S-C-4A	27	0.9415	0.7953	0.6667	CNU-S-C-4A	27	0.3799	0.3746	0.4	CNU-S-C-4A	27	0.6
CNU-S-C-4A	28	0.9781	0.7399	0.5	CNU-S-C-4A	28	0.3091	0.1982	0.1111	CNU-S-C-4A	28	0.966666667
CNU-S-C-4A	29	0	0	0	CNU-S-C-4A	29	0.0378	0.0402	0.04	CNU-S-C-4A	29	1
CNU-S-C-4A	30	0.9268	0.7915	0.6667	CNU-S-C-4A	30	0.1024	0.0982	0.12	CNU-S-C-4A	30	0.15
CNU-S-C-4A	31	0.86	0.7621	0.6667	CNU-S-C-4A	31	0.1859	0.1891	0.2143	CNU-S-C-4A	31	0.8
CNU-S-C-4A	32	0.925	0.8311	0.75	CNU-S-C-4A	32	0.2941	0.2143	0.1538	CNU-S-C-4A	32	0.75
CNU-S-C-4A	33	0	0	0	CNU-S-C-4A	33	0	0	0	CNU-S-C-4A	33	0
FRDC-S-C-1A	1	0.6945	0.7436	0.8	FRDC-S-C-1A	1	0.4217	0.4215	0.4286	FRDC-S-C-1A	1	0.41
FRDC-S-C-1A	2	0.5964	0.464	0.4	FRDC-S-C-1A	2	0.2821	0.3622	0.4286	FRDC-S-C-1A	2	0.28
FRDC-S-C-1A	3	0.5706	0.6883	0.8	FRDC-S-C-1A	3	0.4914	0.4252	0.3846	FRDC-S-C-1A	3	0.383333333
FRDC-S-C-1A	4	0.4646	0.4795	0.5	FRDC-S-C-1A	4	0.1357	0.1033	0.075	FRDC-S-C-1A	4	0.35
FRDC-S-C-1A	5	0.7974	0.6968	0.6	FRDC-S-C-1A	5	0.5283	0.3715	0.2381	FRDC-S-C-1A	5	0.286666667
FRDC-S-C-1A	6	0.6159	0.5168	0.4	FRDC-S-C-1A	6	0.354	0.2912	0.25	FRDC-S-C-1A	6	0.5
FRDC-S-C-1A	7	0.865	0.934	1	FRDC-S-C-1A	7	0.1873	0.2039	0.2174	FRDC-S-C-1A	7	0.08
FRDC-S-C-1A	8	0.4804	0.7384	1	FRDC-S-C-1A	8	0.3829	0.4262	0.5	FRDC-S-C-1A	8	0.14
FRDC-S-C-1A	9	0.6449	0.6501	0.6	FRDC-S-C-1A	9	0.2382	0.2924	0.3462	FRDC-S-C-1A	9	0.24
FRDC-S-C-1A	10	0.8073	0.7687	0.75	FRDC-S-C-1A	10	0.2102	0.3618	0.5	FRDC-S-C-1A	10	0.321428571
FRDC-S-C-1A	11	0.5233	0.6543	0.75	FRDC-S-C-1A	11	0.2384	0.1709	0.125	FRDC-S-C-1A	11	0.353333333
FRDC-S-C-1A	12	0.8648	0.9271	1	FRDC-S-C-1A	12	0.3165	0.3135	0.3333	FRDC-S-C-1A	12	0.18
FRDC-S-C-1A	13	0.609	0.8304	1	FRDC-S-C-1A	13	0.6197	0.8015	1	FRDC-S-C-1A	13	0.393333333
FRDC-S-C-1A	14	0.5112	0.7701	1	FRDC-S-C-1A	14	0.376	0.3542	0.36	FRDC-S-C-1A	14	0.36
FRDC-S-C-1A	15	0.7874	0.8815	1	FRDC-S-C-1A	15	0.5612	0.5366	0.5294	FRDC-S-C-1A	15	0.365
FRDC-S-C-1A	16	0.9146	0.7621	0.6	FRDC-S-C-1A	16	0.1215	0.1672	0.2045	FRDC-S-C-1A	16	0.273333333
FRDC-S-C-1A	17	0.9674	0.6813	0.4	FRDC-S-C-1A	17	0.1516	0.2535	0.35	FRDC-S-C-1A	17	0
FRDC-S-C-1A	18	0.7336	0.6927	0.6667	FRDC-S-C-1A	18	0.1749	0.2169	0.25	FRDC-S-C-1A	18	0.266666667
FRDC-S-C-1A	19	0.7629	0.8784	1	FRDC-S-C-1A	19	0.4083	0.2788	0.1765	FRDC-S-C-1A	19	0.28
FRDC-S-C-1A	20	0.746	0.6774	0.6	FRDC-S-C-1A	20	0.4142	0.4668	0.5	FRDC-S-C-1A	20	0.434285714
FRDC-S-C-1A	21	0.5209	0.5893	0.6667	FRDC-S-C-1A	21	0.101	0.153	0.2	FRDC-S-C-1A	21	0.133333333
FRDC-S-C-1A	22	0.5239	0.6194	0.75	FRDC-S-C-1A	22	0.3737	0.2868	0.2222	FRDC-S-C-1A	22	0.2
FRDC-S-C-1A	23	0.7993	0.901	1	FRDC-S-C-1A	23	0.4209	0.3211	0.25	FRDC-S-C-1A	23	0.14
FRDC-S-C-1A	24	0.8225	0.7455	0.6667	FRDC-S-C-1A	24	0.0139	0.0358	0.0571	FRDC-S-C-1A	24	0.04
FRDC-S-C-1A	25	0.3693	0.3217	0.2	FRDC-S-C-1A	25	0.3065	0.4148	0.5455	FRDC-S-C-1A	25	0.9
FRDC-S-C-1A	26	0.5057	0.4491	0.4	FRDC-S-C-1A	26	0.2999	0.3958	0.5	FRDC-S-C-1A	26	0.533333333
FRDC-S-C-1A	27	0.7291	0.7037	0.6667	FRDC-S-C-1A	27	0.6809	0.6461	0.6	FRDC-S-C-1A	27	0.538333333
FRDC-S-C-1A	28	0.7724	0.8836	1	FRDC-S-C-1A	28	0.3211	0.2714	0.2222	FRDC-S-C-1A	28	0.266666667
FRDC-S-C-1A	29	0.9882	0.9947	1	FRDC-S-C-1A	29	0.1563	0.2051	0.28	FRDC-S-C-1A	29	0.088571429
FRDC-S-C-1A	30	0.6857	0.502	0.3333	FRDC-S-C-1A	30	0.2751	0.2433	0.24	FRDC-S-C-1A	30	0.2
FRDC-S-C-1A	31	0.5951	0.6224	0.6667	FRDC-S-C-1A	31	0.306	0.3609	0.4286	FRDC-S-C-1A	31	0.6
